groupid,url,title,review_id,sentence_id,text,label
1,https://najdoktor.com/drazen-budimir/d14090,Dražen Budimir,1,1,Ako vas je dopao ovaj doktor moj savijet je da tražite odmah drugo mišljenje.,negative
1,https://najdoktor.com/drazen-budimir/d14090,Dražen Budimir,1,2,Moj sin je došao kod njeg na pregled gipsa sljedeći dan nakon loma lakta.,neutral
1,https://najdoktor.com/drazen-budimir/d14090,Dražen Budimir,1,3,"Dr Budimir gledajući snimku tvrdi da tu nema loma nego da on smatra da je to neka stara ozljeda i traži pregled tek nakon 2 tjedna, Dijete od bolova završava opet na hitnu gdje mu opet snimaju lakat u utvrđuju definitvno lom.",negative
1,https://najdoktor.com/drazen-budimir/d14090,Dražen Budimir,1,4,Ostavlajju ga u gipsu i nakon 2 tjedna opet ga dopadne dr Budimir koji ovaj put gleda u novo napravljeni rengen i tvrdi da tu opet nema loma i da mi dijete ima deformaciju a nezna objasnit kakvu.,negative
1,https://najdoktor.com/drazen-budimir/d14090,Dražen Budimir,1,5,Ne diže se sa stolice da pregleda dijete već dijete mora doći do njega!,negative
1,https://najdoktor.com/drazen-budimir/d14090,Dražen Budimir,1,6,Za pregled su mu skinuli gips ruka mu je znatno natečen a doktor pošto je smatrao da nije lom pokušava dijetetu ispravit SLOMLJENU ruku dijete jauče od bolova da bi onda stao sa pregledom.,negative
1,https://najdoktor.com/drazen-budimir/d14090,Dražen Budimir,1,7,Nakon toga je rekao par puta da napravimo žuran CT pa da će onda znat bolje o čemu se radi.,neutral
1,https://najdoktor.com/drazen-budimir/d14090,Dražen Budimir,1,8,Mom dijetetu je nakon pregleda došlo slabo i trebao je ostati u čekaonici još pola sata jer mu je bila muka nakon pregleda.,negative
1,https://najdoktor.com/drazen-budimir/d14090,Dražen Budimir,1,9,Dakle u toku pregleda doktor je ustanovio deformaciju i zatražio žuran CT a ništa od toga nije napisano na njegovom nalazu!,negative
1,https://najdoktor.com/drazen-budimir/d14090,Dražen Budimir,1,10,Dakle na nalazu nema njegovog mišljenja da se radio o deformaciju i da traži hitan CT jer kako čemo mi uopće dobiti nešto hitno ako to nepiše.,negative
1,https://najdoktor.com/drazen-budimir/d14090,Dražen Budimir,1,11,Da skratim priču vračam se nazad da zatražim da se napiše šta je ustanovljeno i dobijemo drugug dječjeg kirurga koji odmah ustanovi lom lakta.,negative
1,https://najdoktor.com/drazen-budimir/d14090,Dražen Budimir,1,12,Dakle svi drugi doktori (3 doktora sa hitne i druga 2 dječja kirurga) vide lom lakta osim dr Budimira koji ga lječi za deformaciju i pokušava mu ispraviti slomljen lakat u toku pregleda!,negative
1,https://najdoktor.com/drazen-budimir/d14090,Dražen Budimir,2,1,Sin mi je slomio nogu.,neutral
1,https://najdoktor.com/drazen-budimir/d14090,Dražen Budimir,2,2,Došli smo na kontrolu kod dr. Budimira tjedan dana nakon prijeloma.,neutral
1,https://najdoktor.com/drazen-budimir/d14090,Dražen Budimir,2,3,"Doktor mu nije niti pogledao nogu (samo je rekao sestri da je previje), i ni najmanje ga nije zanimalo kako se dječak oporavlja, boli li ga, niti išta drugo.",negative
1,https://najdoktor.com/drazen-budimir/d14090,Dražen Budimir,2,4,"Na moja pitanja je odgovarao šturo, podrugljivo i bez da mi je dao konkretan odgovor, u nekom trenutku se čak počeo i smijat mom pitanju.",negative
1,https://najdoktor.com/drazen-budimir/d14090,Dražen Budimir,2,5,"Sestra mi je na kasniji upit, kako doći do rtg snimaka, prvo odbila odgovorit, tj. rekla da ne zna - da bi mi tek na moje inzistiranje ipak dala informaciju kako ih dobiti.",negative
1,https://najdoktor.com/drazen-budimir/d14090,Dražen Budimir,3,1,"Bahat, neljubazan doktor.",negative
1,https://najdoktor.com/drazen-budimir/d14090,Dražen Budimir,3,2,Čitajući gornje komentare pitam se radi li se o istoj osobi?,neutral
1,https://najdoktor.com/drazen-budimir/d14090,Dražen Budimir,3,3,Ne bih ga preporučila ni za čije dijete!!!,negative
1,https://najdoktor.com/drazen-budimir/d14090,Dražen Budimir,4,1,Vrhunski stručnjak s divnim pristupom djeci i roditeljima.,positive
1,https://najdoktor.com/drazen-budimir/d14090,Dražen Budimir,4,2,Obavio je zahtjevnu operaciju zbog koje smo razmatrali i odlazak u inozemstvo.,positive
1,https://najdoktor.com/drazen-budimir/d14090,Dražen Budimir,4,3,"Iako su nam drugi kirurzi predlagali dvije operacije, on je u jednom aktu operirao naše dijete.",positive
1,https://najdoktor.com/drazen-budimir/d14090,Dražen Budimir,4,4,"Sve je prošlo bez stresa i trauma, svakako preporučamo!",positive
1,https://najdoktor.com/drazen-budimir/d14090,Dražen Budimir,5,1,Izuzetno stručan i ljubazan.,positive
1,https://najdoktor.com/drazen-budimir/d14090,Dražen Budimir,5,2,Posveti se u potpunosti pacijentu.,positive
1,https://najdoktor.com/drazen-budimir/d14090,Dražen Budimir,5,3,Sve pohvale.,positive
1,https://najdoktor.com/drazen-budimir/d14090,Dražen Budimir,6,1,Vrhunski stručnjak i još bolji čovjek!,positive
1,https://najdoktor.com/drazen-budimir/d14090,Dražen Budimir,7,1,Budite sretni da ste uopće došli do njega!,positive
1,https://najdoktor.com/drazen-budimir/d14090,Dražen Budimir,7,2,"Ljudi vole drame, a to sigurno od njega nećete dobiti već isključivo profesionalnost i stručnost.",positive
1,https://najdoktor.com/drazen-budimir/d14090,Dražen Budimir,8,1,"Doktor kojem smo nakon sto nam je prije 10-ak godina uspješno operirao sina, u ruke dali i drugog sina da ga operira dovoljno govori koliko ga cijenimo!",positive
1,https://najdoktor.com/drazen-budimir/d14090,Dražen Budimir,8,2,"Mada se u oba slučaja radilo o tzv.manjim zahvatima dr.Budimir je to odradio stručno, uspješno i iznimno dobro.",positive
1,https://najdoktor.com/drazen-budimir/d14090,Dražen Budimir,8,3,Samo riječi hvale imamo za tog čovjeka!,positive
1,https://najdoktor.com/drazen-budimir/d14090,Dražen Budimir,8,4,Neka mu Bog bude u pomoći da još dugo može uspješno obavljati svoj posao na korist svojih malih pacijenata!,positive
1,https://najdoktor.com/drazen-budimir/d14090,Dražen Budimir,9,1,Krasan čovjek i vrhunski stručnjak u svom području.,positive
1,https://najdoktor.com/drazen-budimir/d14090,Dražen Budimir,9,2,Spasio nam je djetetu život i uvijek ćemo mu biti zahvalni.,positive
1,https://najdoktor.com/mirna-tomaskovic/d9753,Mirna Tomašković,10,1,Doktorica Tomašković je primjer idealnog liječnika.,positive
1,https://najdoktor.com/mirna-tomaskovic/d9753,Mirna Tomašković,10,2,"Jedna je od rijetkih koji uz iznimnu stručnost i profesionalnost, ima i visoko razvijene komunikacijske vještine te načinom komunikacije s djetetom i roditeljima ima umirujući utjecaj što je meni osobno mnogo značilo kao zabrinutoj majci.",positive
1,https://najdoktor.com/mirna-tomaskovic/d9753,Mirna Tomašković,10,3,Imala sam dojam da je pregled temeljit i objektivan te da smo dobili sve potrebne informacije i terapiju.,positive
1,https://najdoktor.com/mirna-tomaskovic/d9753,Mirna Tomašković,10,4,"Pregledi su uvijek bili na vrijeme, što je također važno kad dolazite s malim djetetom.",positive
1,https://najdoktor.com/mirna-tomaskovic/d9753,Mirna Tomašković,11,1,"Veoma stručna i ljubazna doktorica, odlična u komunikaciji sa roditeljima i još bolja u radu sa bebicom.",positive
1,https://najdoktor.com/mirna-tomaskovic/d9753,Mirna Tomašković,11,2,Nakon posjeta nekoliko doktora i nekoliko privatnih klinika još više do izražaja dolazi stručnost i ljudskost doktorice.,positive
1,https://najdoktor.com/mirna-tomaskovic/d9753,Mirna Tomašković,11,3,Veoma smo zahvalni što smo na našem putu završili kod doktorice.,positive
1,https://najdoktor.com/mirna-tomaskovic/d9753,Mirna Tomašković,12,1,"Odlicna doktorica, topla, strucna, susretljiva, spremna je sve saslusati i odgovoritu na sva pitanja.",positive
1,https://najdoktor.com/mirna-tomaskovic/d9753,Mirna Tomašković,12,2,Suprug i ja smo izuzetno zadovoljni njenim radom.,positive
1,https://najdoktor.com/mirna-tomaskovic/d9753,Mirna Tomašković,12,3,S njom smo posebno zadovoljni i da je naše dijete u sigurnim rukama.,positive
1,https://najdoktor.com/mirna-tomaskovic/d9753,Mirna Tomašković,12,4,"Uz njezine savjete i preporuke, način na koji se obraća i radi s našim bolesnim djetetom, mnogi liječnici bi mogli učiti o načinu rada, pristupačnosti u svakom pogledu, a osobito o neprocjenjivoj srdačnosti i pristupu malim pacijentima.",positive
1,https://najdoktor.com/mirna-tomaskovic/d9753,Mirna Tomašković,12,5,Svaka preporuka i podrška svim roditeljima koji od nje traže stručnu pomoć i savjet.,positive
1,https://najdoktor.com/mirna-tomaskovic/d9753,Mirna Tomašković,12,6,Beskarajno zahvalna obitelj,positive
1,https://najdoktor.com/mirna-tomaskovic/d9753,Mirna Tomašković,13,1,Sve najbolje vezano za rad doktorice.,positive
1,https://najdoktor.com/mirna-tomaskovic/d9753,Mirna Tomašković,13,2,Prezadovoljni smo.,positive
1,https://najdoktor.com/mirna-tomaskovic/d9753,Mirna Tomašković,13,3,Odlicna komunikacuja i rad s malom bebom.,positive
1,https://najdoktor.com/mirna-tomaskovic/d9753,Mirna Tomašković,13,4,Doktorica je puna razumijevanja za roditelje i bebu.,positive
1,https://najdoktor.com/mirna-tomaskovic/d9753,Mirna Tomašković,14,1,Jednom rječju vrhunska doktorica i da preporučila bi ju svakome.,positive
1,https://najdoktor.com/mirna-tomaskovic/d9753,Mirna Tomašković,14,2,"Njezin pristup, toplina, trud, pristupaćnost su stvarno za primjer.",positive
1,https://najdoktor.com/mirna-tomaskovic/d9753,Mirna Tomašković,14,3,"Njezin način uspostavljanja kontakta s djetetom i roditeljima ,njezina pažnja i prije nego nešto napravi s bebom lijepo objasni što će i kako će.",positive
1,https://najdoktor.com/mirna-tomaskovic/d9753,Mirna Tomašković,14,4,I mogao joj hvala na svemu.,positive
1,https://najdoktor.com/mirna-tomaskovic/d9753,Mirna Tomašković,15,1,"Vrhunska doktorica, rekla bih posebna.",positive
1,https://najdoktor.com/mirna-tomaskovic/d9753,Mirna Tomašković,15,2,"Nije mi niti malo neobično što ima ocjenu 5.0 na dan pisanja ove pohvale, a došla sam s namjerom pisanja baš prave pohvale.",positive
1,https://najdoktor.com/mirna-tomaskovic/d9753,Mirna Tomašković,15,3,Obavlja posao na zavidnoj razini.,positive
1,https://najdoktor.com/mirna-tomaskovic/d9753,Mirna Tomašković,15,4,Način uspostavljanja kontakta s djetetom je zadivljujuć.,positive
1,https://najdoktor.com/mirna-tomaskovic/d9753,Mirna Tomašković,15,5,"Primjereno i odmjereno se obraća i djetetu, i roditelju.",positive
1,https://najdoktor.com/mirna-tomaskovic/d9753,Mirna Tomašković,15,6,"Odvoji dovoljno vremena za pregled, nema stresa ni nervoze.",positive
1,https://najdoktor.com/mirna-tomaskovic/d9753,Mirna Tomašković,15,7,Uistinu primjer osobe koja voli posao koji radi i to se neopisivo osjeti.,positive
1,https://najdoktor.com/mirna-tomaskovic/d9753,Mirna Tomašković,16,1,Bili sa malom bebom starom mjesec i pol dana kod nje na pregledu.,neutral
1,https://najdoktor.com/mirna-tomaskovic/d9753,Mirna Tomašković,16,2,Žena je genijalna.,positive
1,https://najdoktor.com/mirna-tomaskovic/d9753,Mirna Tomašković,16,3,"Smirena, sve objašnjava, zna sa djecom.",positive
1,https://najdoktor.com/mirna-tomaskovic/d9753,Mirna Tomašković,16,4,"Mali počeo plakati, ona ga sama smirila, priča sa njim, igra se - nije ni skužio što se dešava - kada ga je izvrtila nije glasa pustio, samo zbunjeno blentavi pogled u nju ne znajući što se događa :-) Sve vezano uz ovu doktoricu, koliko se trudi i koliko je profesionalna došlo mi je u glavu kada smo u narednim mejsecima hodali dalje po raznim pregledima i kada smo doživjeli i neugodnosti i ružne situacije od drugih doktora (posebice od jedne neuropedijatrice u Vinogradskoj), kada smo vidjeli koliko ih ima a da ne obavljaju svoj posao sa toliko žara, truda, posvećenosti i pažnje.",positive
1,https://najdoktor.com/mirna-tomaskovic/d9753,Mirna Tomašković,16,5,"Par doktora odnosilo se prema djetetu kao da su vreće krompira na ne ljudska bića, užasna iskustva.",negative
